csd_code,year,muni_id,MUNID,LOCALID,muni_name,turnout,turnout_noavg,intvoting,total_treats,VBM,phonevoting,paper_ballots_eliminated,adv_only,p_int_votes,p_phone_votes,p_paper_votes,no_reg_barrier,winner,second_place,margin,compet,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
7015,2006,m047,7015,7015,Brockville,0.415,0.415,0,2,0,0,0,0,,,,,0.62,0.344,0.276,0.724,3507015,Leeds and Grenville,3507,Brockville,15,21957,20.74,1058.678881,0.095835199,7.6,0.207242086,24408,0.093706936
7015,2010,m047,7015,7015,Brockville,0.525,0.525,1,2,0,1,1,0,,,,,0.336,0.316,0.02,0.98,3507015,Leeds and Grenville,3507,Brockville,15,21870,20.9,1046.411483,0.110609481,8.3,0.227709191,26885,0.084588644
7015,2014,m047,7015,7015,Brockville,0.472,0.472,1,2,0,1,1,0,0.861,0.139,0,1,0.38,0.33,0.05,0.95,3507015,Leeds and Grenville,3507,Brockville,15,22192.93151,20.92767123,1060.458723,0.091342158,7.302739726,0.236429163,28980.83562,0.082083317
24002,2000,m052,24002,24002,Burlington,0.226,0.226,0,2,0,0,0,0,,,,,NA,NA,1,0,3524002,Halton Regional Municipality,3524,Burlington,2,150836,185.71,812.2125895,0.222635256,3.8,0.136074942,30559,0.212542158
24002,2003,m052,24002,24002,Burlington,0.165,0.165,0,2,0,0,0,0,,,,,NA,NA,1,0,3524002,Halton Regional Municipality,3524,Burlington,2,157625.5,185.725,848.7037286,0.21169758,4.2,0.145144183,32469,0.220131247
24002,2006,m052,24002,24002,Burlington,0.348,0.348,0,2,0,0,0,0,,,,,0.349,0.32,0.029,0.971,3524002,Halton,3524,Burlington,2,164415,185.74,885.1889738,0.200759904,4.6,0.154213423,34379,0.227720335
24002,2010,m052,24002,24002,Burlington,0.363,0.363,1,2,0,0,0,1,,,,,0.48,0.249,0.231,0.769,3524002,Halton,3524,Burlington,2,175779,185.66,946.7790585,0.221663934,5.8,0.16907979,38486,0.218254654
24002,2014,m052,24002,24002,Burlington,0.341,0.341,1,2,0,0,0,1,0.187,0,0.813,0,0.86,0.07,0.79,0.21,3524002,Halton,3524,Burlington,2,185148.2877,185.6663014,997.2099746,0.211941681,6.424657534,0.181552117,41246.41096,0.225690635
30010,2000,m057,30006,30006,Cambridge,0.314,0.314,0,1,0,0,0,0,,,,,0.463,0.462,0.001,0.999,3530010,Waterloo Regional Municipality,3530,Cambridge,10,110372,112.82,978.3017196,0.104115439,5.3,0.100161273,25420,0.209210587
30010,2003,m057,30006,30006,Cambridge,0.221,0.221,0,1,0,0,0,0,,,,,0.7584,0.2415,0.5169,0.4831,3530010,Waterloo Regional Municipality,3530,Cambridge,10,115371.5,112.84,1022.43442,0.103187146,5.6,0.106570772,27174,0.21144308
30010,2006,m057,30006,30006,Cambridge,0.26,0.26,0,1,0,0,0,0,,,,,0.51,0.406,0.104,0.896,3530010,Waterloo,3530,Cambridge,10,120371,112.86,1066.55148,0.102258852,5.9,0.11298027,28928,0.213675572
30010,2010,m057,30006,30006,Cambridge,0.287,0.287,0,1,0,0,0,0,,,,,0.478,0.286,0.192,0.808,3530010,Waterloo,3530,Cambridge,10,126748,113,1121.663717,0.108281171,8.3,0.121814596,31804,0.202271001
30010,2014,m057,30006,30006,Cambridge,0.299,0.299,1,1,0,1,0,1,0.203,0.001,0.796,0,0.5327,0.18,0.3527,0.6473,3530010,Waterloo,3530,Cambridge,10,133374.411,113.0421918,1179.863986,0.108037973,8.973972603,0.130400091,34216.27397,0.203277626
49036,2000,m059,49036,49036,Carling,0.467,0.467,0,2,1,0,1,0,,,,,NA,NA,1,0,3549036,Parry Sound District,3549,Carling,36,1063,244.09,4.354951043,0.193181818,5.8,0.258701787,19533,0.168949772
49036,2003,m059,49036,49036,Carling,0.437,0.437,0,2,1,0,1,0,,,,,NA,NA,1,0,3549036,Parry Sound District,3549,Carling,36,1093,244.015,4.479232834,0.163257576,4.55,0.249350894,24712.5,0.131141553
49036,2006,m059,49036,49036,Carling,0.363,0.363,0,2,1,0,1,0,,,,,NA,NA,1,0,3549036,Parry Sound,3549,Carling,36,1123,243.94,4.603591047,0.133333333,3.3,0.24,29892,0.093333333
49036,2010,m059,49036,49036,Carling,0.452,0.452,1,2,0,1,1,0,,,,,NA,NA,1,0,3549036,Parry Sound,3549,Carling,36,1248,248.56,5.020920502,0.03539823,8.2,0.261044177,33150,0.155737705
49036,2014,m059,49036,49036,Carling,0.422,0.422,1,2,0,1,1,0,0.788,0.212,0,1,NA,NA,1,0,3549036,Parry Sound,3549,Carling,36,1299.643836,249.1065753,5.217220115,0,7.432876712,0.253167009,39556.27397,0.120780901
2044,2000,m062,2044,2044,Casselman,0.620666667,ACC,0,1,0,0,0,0,,,,,NA,NA,1,0,3502044,Prescott and Russell United Counties,3502,Casselman,44,2910,5,582,0.17433414,1.3,0.094501718,28002,0.015679443
2044,2003,m062,2044,2044,Casselman,0.614,0.614,0,1,0,0,0,0,,,,,NA,NA,NA,NA,3502044,Prescott and Russell United Counties,3502,Casselman,44,3102,5.075,611.2315271,0.155848389,2.65,0.112501239,29859,0.016501139
2044,2006,m062,2044,2044,Casselman,0.61,0.61,0,1,0,0,0,0,,,,,NA,NA,NA,NA,3502044,Prescott and Russell,3502,Casselman,44,3294,5.15,639.6116505,0.137362637,4,0.130500759,31716,0.017322835
2044,2010,m062,2044,2044,Casselman,0.638,0.638,0,1,0,0,0,0,,,,,0.3933,0.3787,0.0146,0.9854,3502044,Prescott and Russell,3502,Casselman,44,3626,5.17,701.3539652,0.171355499,3.6,0.143448276,38802,0.028571429
2044,2014,m062,2044,2044,Casselman,0.678,0.678,1,1,0,1,1,0,0.774,0.226,0,1,0.5147,0.3065,0.2082,0.7918,3502044,Prescott and Russell,3502,Casselman,44,3892.410959,5.259041096,740.1370113,0.15474078,5.098630137,0.165933685,41909.50685,0.031057845
15013,2000,m063,15012,15012,Cavan-Monaghan,0.409,0.409,0,1,0,0,0,0,,,,,0.35,0.301,0.049,0.951,3515013,Peterborough County,3515,Cavan-Millbrook-North Monaghan,13,8453,306.13,27.61245223,0.126397248,5.4,0.105879569,25687,0.074545455
15013,2003,m063,15012,15012,Cavan-Monaghan,0.324,0.324,0,1,0,0,0,0,,,,,0.657,0.343,0.314,0.686,3515013,Peterborough County,3515,Cavan-Millbrook-North Monaghan,13,8640.5,306.13,28.22493712,0.103302791,5.5,0.119795309,27042.5,0.07642586
15013,2006,m063,15012,15012,Cavan-Monaghan,0.387,0.387,0,1,0,0,0,0,,,,,0.4837,0.3917,0.092,0.908,3515013,Peterborough,3515,Cavan-Millbrook-North Monaghan,13,8828,306.13,28.83742201,0.080208333,5.6,0.133711048,28398,0.078306265
15013,2010,m063,15012,15012,Cavan-Monaghan,0.43,0.43,0,1,0,0,0,0,,,,,0.585,0.2523,0.3327,0.6673,3515013,Peterborough,3515,Cavan-Monaghan,13,8601,306.22,28.0876494,0.049415723,5.733333333,0.158139535,30205.33333,0.080813472
