csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
1042,2000,m270,1037,1037,North Stormont,0,0,0,0,0,3501042,"Stormont, Dundas and Glengarry United Counties",3501,North Stormont,42,6855,515.54,13.2967374,0.065359477,3.1,0.100656455,22334,0.055100521
41069,2000,m272,41061,41061,Northern Bruce Peninsula,0,0,0,0,0,3541069,Bruce County,3541,Northern Bruce Peninsula,69,3599,782.23,4.60094857,0.124561404,4.8,0.254237288,19102,0.125175809
49032,2000,m287,49032,49032,Parry Sound,0,0,0,0,0,3549032,Parry Sound District,3549,Parry Sound,32,6124,13.33,459.4148537,0.115131579,6.1,0.19023514,19392,0.045075125
47064,2000,m290,47064,47064,Pembroke,0,0,0,0,0,3547064,Renfrew County,3547,Pembroke,64,13490,14.35,940.0696864,0.093942505,8.7,0.178280208,17922,0.04540163
43072,2000,m291,43072,43072,Penetanguishene,0,0,0,0,0,3543072,Simcoe County,3543,Penetanguishene,72,8316,25.36,327.9179811,0.090673575,7.1,0.140692641,20351,0.04952381
9021,2000,m295,9021,9021,Perth Town,0,1,0,0,0,3509021,Lanark County,3509,Perth,21,6003,10.36,579.4401544,0.103559871,6,0.249875062,22829,0.066777963
15014,2000,m297,15014,15014,Peterborough,0,0,0,0,0,3515014,Peterborough County,3515,Peterborough,14,71446,58.61,1219.006995,0.147222756,8.1,0.171948045,20455,0.096829847
14020,2000,m305,14022,14022,Port Hope,0,0,0,0,0,3514020,Northumberland County,3514,Port Hope and Hope,20,15605,278.99,55.93390444,0.110507246,6.4,0.144504966,24506,0.113139876
7008,2000,m307,7008,7008,Prescott,0,0,0,0,0,3507008,Leeds and Grenville United Counties,3507,Prescott,8,4228,4.95,854.1414141,0.047923323,11,0.206953642,17382,0.091898428
13020,2000,m308,13002,13002,Prince Edward County,0,0,0,0,0,3513020,Prince Edward Division,3513,Prince Edward,20,24901,1049.99,23.71546396,0.11344086,6,0.191156982,20790,0.098932677
12015,2000,m311,12010,12010,Quinte West,0,0,0,0,0,3512015,Hastings County,3512,Quinte West,15,41409,499.14,82.96069239,0.068635677,7.5,0.132338381,21791,0.080660836
47048,2000,m316,47048,47048,Renfrew,0,0,0,0,0,3547048,Renfrew County,3547,Renfrew,48,7942,12.77,621.92639,0.073339085,7.2,0.197683203,19404,0.039817232
2048,2000,m319,2048,2048,Russell,0,0,0,0,0,3502048,Prescott and Russell United Counties,3502,Russell,48,12412,198.96,62.38439887,0.147420147,2.8,0.062036739,32023,0.060309698
49003,2000,m327,49003,49003,Seguin,0,1,0,0,0,3549003,Parry Sound District,3549,Seguin,3,3698,586.11,6.309395847,0.090592334,3.1,0.178474851,19833,0.128378378
58028,2000,m331,58028,58028,Shuniah,0,0,0,0,0,3558028,Thunder Bay District,3558,Shuniah,28,2466,569.2,4.332396346,0.154241645,8.9,0.131792376,28309,0.09127789
41004,2000,m337,41004,41004,South Bruce,0,0,0,0,0,3541004,Bruce County,3541,South Bruce,4,6063,487.19,12.44483672,0.057317073,1.9,0.125350487,23082,0.042218543
